Sexo,codigo,Provincia,AÃ±o,Trimestre,Paro
Ambos sexos,0,Total Nacional,2016,2,20
Ambos sexos,0,Total Nacional,2016,3,18.91
Ambos sexos,0,Total Nacional,2016,4,18.63
Ambos sexos,0,Total Nacional,2017,1,18.75
Ambos sexos,0,Total Nacional,2017,2,17.22
Ambos sexos,0,Total Nacional,2017,3,16.38
Ambos sexos,0,Total Nacional,2017,4,16.55
Ambos sexos,0,Total Nacional,2018,1,16.74
Ambos sexos,0,Total Nacional,2018,2,15.28
Ambos sexos,0,Total Nacional,2018,3,14.55
Ambos sexos,0,Total Nacional,2018,4,14.45
Ambos sexos,0,Total Nacional,2019,1,14.7
Ambos sexos,0,Total Nacional,2019,2,14.02
Ambos sexos,0,Total Nacional,2019,3,13.92
Ambos sexos,0,Total Nacional,2019,4,13.78
Ambos sexos,0,Total Nacional,2020,1,14.41
Ambos sexos,0,Total Nacional,2020,2,15.33
Ambos sexos,0,Total Nacional,2020,3,16.26
Ambos sexos,0,Total Nacional,2020,4,16.13
Ambos sexos,0,Total Nacional,2021,1,15.98
Ambos sexos,0,Total Nacional,2021,2,15.26
Ambos sexos,0,Total Nacional,2021,3,14.57
Ambos sexos,0,Total Nacional,2021,4,13.33
Ambos sexos,0,Total Nacional,2022,1,13.65
Ambos sexos,0,Total Nacional,2022,2,12.48
Ambos sexos,0,Total Nacional,2022,3,12.67
Ambos sexos,0,Total Nacional,2022,4,12.87
Ambos sexos,0,Total Nacional,2023,1,13.26
Ambos sexos,1,Álava,2002,1,7.98
Ambos sexos,1,Álava,2002,2,8.25
Ambos sexos,1,Álava,2002,3,10.31
Ambos sexos,1,Álava,2002,4,9.56
Ambos sexos,1,Álava,2003,1,9.09
Ambos sexos,1,Álava,2003,2,8.54
Ambos sexos,1,Álava,2003,3,10.26
Ambos sexos,1,Álava,2003,4,9.49
Ambos sexos,1,Álava,2004,1,9.85
Ambos sexos,1,Álava,2004,2,9.09
Ambos sexos,1,Álava,2004,3,8.69
Ambos sexos,1,Álava,2004,4,9.9
Ambos sexos,1,Álava,2005,1,7.99
Ambos sexos,1,Álava,2005,2,5.5
Ambos sexos,1,Álava,2005,3,8.68
Ambos sexos,1,Álava,2005,4,6.46
Ambos sexos,1,Álava,2006,1,8.71
Ambos sexos,1,Álava,2006,2,7.43
Ambos sexos,1,Álava,2006,3,6.87
Ambos sexos,1,Álava,2006,4,6.15
Ambos sexos,1,Álava,2007,1,6.94
Ambos sexos,1,Álava,2007,2,5.22
Ambos sexos,1,Álava,2007,3,5.05
Ambos sexos,1,Álava,2007,4,4.55
Ambos sexos,1,Álava,2008,1,3.27
Ambos sexos,1,Álava,2008,2,4.5
Ambos sexos,1,Álava,2008,3,4.38
Ambos sexos,1,Álava,2008,4,7.79
Ambos sexos,1,Álava,2009,1,9.9
Ambos sexos,1,Álava,2009,2,9.42
Ambos sexos,1,Álava,2009,3,12.91
Ambos sexos,1,Álava,2009,4,14.74
Ambos sexos,1,Álava,2010,1,13.7
Ambos sexos,1,Álava,2010,2,10.92
Ambos sexos,1,Álava,2010,3,9.6
Ambos sexos,1,Álava,2010,4,11.14
Ambos sexos,1,Álava,2011,1,11.98
Ambos sexos,1,Álava,2011,2,9.04
Ambos sexos,1,Álava,2011,3,10.25
Ambos sexos,1,Álava,2011,4,11.73
Ambos sexos,1,Álava,2012,1,16.32
Ambos sexos,1,Álava,2012,2,15.54
Ambos sexos,1,Álava,2012,3,14.96
Ambos sexos,1,Álava,2012,4,19.47
Ambos sexos,1,Álava,2013,1,17.43
Ambos sexos,1,Álava,2013,2,16.81
Ambos sexos,1,Álava,2013,3,17.06
Ambos sexos,1,Álava,2013,4,18.75
Ambos sexos,1,Álava,2014,1,19.06
Ambos sexos,1,Álava,2014,2,16.77
Ambos sexos,1,Álava,2014,3,16.32
Ambos sexos,1,Álava,2014,4,16.64
Ambos sexos,1,Álava,2015,1,18.97
Ambos sexos,1,Álava,2015,2,15.54
Ambos sexos,1,Álava,2015,3,13.33
Ambos sexos,1,Álava,2015,4,12.21
Ambos sexos,1,Álava,2016,1,10.71
Ambos sexos,1,Álava,2016,2,13.11
Ambos sexos,1,Álava,2016,3,12.16
Ambos sexos,1,Álava,2016,4,11.97
Ambos sexos,1,Álava,2017,1,12.03
Ambos sexos,1,Álava,2017,2,13.05
Ambos sexos,1,Álava,2017,3,10.95
Ambos sexos,1,Álava,2017,4,9.04
Ambos sexos,1,Álava,2018,1,10.54
Ambos sexos,1,Álava,2018,2,10.53
Ambos sexos,1,Álava,2018,3,7.99
Ambos sexos,1,Álava,2018,4,7.39
Ambos sexos,1,Álava,2019,1,7.54
Ambos sexos,1,Álava,2019,2,8.04
Ambos sexos,1,Álava,2019,3,10.23
Ambos sexos,1,Álava,2019,4,7.31
Ambos sexos,1,Álava,2020,1,5.59
Ambos sexos,1,Álava,2020,2,7.81
Ambos sexos,1,Álava,2020,3,8.04
Ambos sexos,1,Álava,2020,4,9.99
Ambos sexos,1,Álava,2021,1,11.31
Ambos sexos,1,Álava,2021,2,10.47
Ambos sexos,1,Álava,2021,3,11.44
Ambos sexos,1,Álava,2021,4,8.71
Ambos sexos,1,Álava,2022,1,9.38
Ambos sexos,1,Álava,2022,2,9.42
Ambos sexos,1,Álava,2022,3,8.62
Ambos sexos,1,Álava,2022,4,7.81
Ambos sexos,1,Álava,2023,1,6.35
Ambos sexos,2,Albacete,2002,1,6.58
Ambos sexos,2,Albacete,2002,2,5.43
Ambos sexos,2,Albacete,2002,3,7.46
Ambos sexos,2,Albacete,2002,4,8.27
Ambos sexos,2,Albacete,2003,1,8.05
Ambos sexos,2,Albacete,2003,2,7.51
Ambos sexos,2,Albacete,2003,3,7.74
Ambos sexos,2,Albacete,2003,4,7.5
Ambos sexos,2,Albacete,2004,1,9.38
Ambos sexos,2,Albacete,2004,2,7.73
Ambos sexos,2,Albacete,2004,3,9.05
Ambos sexos,2,Albacete,2004,4,9.86
Ambos sexos,2,Albacete,2005,1,10.84
Ambos sexos,2,Albacete,2005,2,7.2
Ambos sexos,2,Albacete,2005,3,10.54
Ambos sexos,2,Albacete,2005,4,10.78
Ambos sexos,2,Albacete,2006,1,9.28
Ambos sexos,2,Albacete,2006,2,10.8
Ambos sexos,2,Albacete,2006,3,11.76
Ambos sexos,2,Albacete,2006,4,8.22
Ambos sexos,2,Albacete,2007,1,9.38
Ambos sexos,2,Albacete,2007,2,9.07
Ambos sexos,2,Albacete,2007,3,7.66
Ambos sexos,2,Albacete,2007,4,10.54
Ambos sexos,2,Albacete,2008,1,9.95
Ambos sexos,2,Albacete,2008,2,10.37
Ambos sexos,2,Albacete,2008,3,11.47
Ambos sexos,2,Albacete,2008,4,17
Ambos sexos,2,Albacete,2009,1,18.47
Ambos sexos,2,Albacete,2009,2,19.98
Ambos sexos,2,Albacete,2009,3,19.17
Ambos sexos,2,Albacete,2009,4,21.46
Ambos sexos,2,Albacete,2010,1,23.15
Ambos sexos,2,Albacete,2010,2,24.06
Ambos sexos,2,Albacete,2010,3,22.2
Ambos sexos,2,Albacete,2010,4,21.25
Ambos sexos,2,Albacete,2011,1,23.31
Ambos sexos,2,Albacete,2011,2,24.41
Ambos sexos,2,Albacete,2011,3,25.74
Ambos sexos,2,Albacete,2011,4,25.4
Ambos sexos,2,Albacete,2012,1,29.2
Ambos sexos,2,Albacete,2012,2,32.36
Ambos sexos,2,Albacete,2012,3,32.17
Ambos sexos,2,Albacete,2012,4,33.94
Ambos sexos,2,Albacete,2013,1,33.83
Ambos sexos,2,Albacete,2013,2,30.59
Ambos sexos,2,Albacete,2013,3,30.53
Ambos sexos,2,Albacete,2013,4,29
Ambos sexos,2,Albacete,2014,1,27.12
Ambos sexos,2,Albacete,2014,2,26.62
Ambos sexos,2,Albacete,2014,3,29.03
Ambos sexos,2,Albacete,2014,4,27.3
Ambos sexos,2,Albacete,2015,1,28.82
Ambos sexos,2,Albacete,2015,2,24.66
Ambos sexos,2,Albacete,2015,3,23.28
Ambos sexos,2,Albacete,2015,4,21.97
Ambos sexos,2,Albacete,2016,1,24.67
Ambos sexos,2,Albacete,2016,2,24.27
Ambos sexos,2,Albacete,2016,3,23.06
Ambos sexos,2,Albacete,2016,4,23.31
Ambos sexos,2,Albacete,2017,1,24.48
Ambos sexos,2,Albacete,2017,2,25.32
Ambos sexos,2,Albacete,2017,3,20.81
Ambos sexos,2,Albacete,2017,4,22.01
Ambos sexos,2,Albacete,2018,1,23.82
Ambos sexos,2,Albacete,2018,2,20.66
Ambos sexos,2,Albacete,2018,3,16.86
Ambos sexos,2,Albacete,2018,4,17.59
Ambos sexos,2,Albacete,2019,1,17.85
Ambos sexos,2,Albacete,2019,2,17.7
Ambos sexos,2,Albacete,2019,3,16.5
Ambos sexos,2,Albacete,2019,4,16.69
Ambos sexos,2,Albacete,2020,1,20.72
Ambos sexos,2,Albacete,2020,2,17.41
Ambos sexos,2,Albacete,2020,3,17.48
Ambos sexos,2,Albacete,2020,4,17.44
Ambos sexos,2,Albacete,2021,1,19.77
Ambos sexos,2,Albacete,2021,2,14.65
Ambos sexos,2,Albacete,2021,3,15.49
Ambos sexos,2,Albacete,2021,4,12.07
Ambos sexos,2,Albacete,2022,1,16.57
Ambos sexos,2,Albacete,2022,2,12.41
Ambos sexos,2,Albacete,2022,3,10.7
Ambos sexos,2,Albacete,2022,4,11.00
Ambos sexos,2,Albacete,2023,1,13.61
Ambos sexos,3,Alicante,2002,1,10
Ambos sexos,3,Alicante,2002,2,11.47
Ambos sexos,3,Alicante,2002,3,10.51
Ambos sexos,3,Alicante,2002,4,10.76
Ambos sexos,3,Alicante,2003,1,12.8
Ambos sexos,3,Alicante,2003,2,12.54
Ambos sexos,3,Alicante,2003,3,11.96
Ambos sexos,3,Alicante,2003,4,12.05
Ambos sexos,3,Alicante,2004,1,10.27
Ambos sexos,3,Alicante,2004,2,11.15
Ambos sexos,3,Alicante,2004,3,10.6
Ambos sexos,3,Alicante,2004,4,10.44
Ambos sexos,3,Alicante,2005,1,10.26
Ambos sexos,3,Alicante,2005,2,9.38
Ambos sexos,3,Alicante,2005,3,8.58
Ambos sexos,3,Alicante,2005,4,10.28
Ambos sexos,3,Alicante,2006,1,10.86
Ambos sexos,3,Alicante,2006,2,8.48
Ambos sexos,3,Alicante,2006,3,8.73
Ambos sexos,3,Alicante,2006,4,10.42
Ambos sexos,3,Alicante,2007,1,10.93
Ambos sexos,3,Alicante,2007,2,10.39
Ambos sexos,3,Alicante,2007,3,9.46
Ambos sexos,3,Alicante,2007,4,11.23
Ambos sexos,3,Alicante,2008,1,10.96
Ambos sexos,3,Alicante,2008,2,13.57
Ambos sexos,3,Alicante,2008,3,13.5
Ambos sexos,3,Alicante,2008,4,15.92
Ambos sexos,3,Alicante,2009,1,21.43
Ambos sexos,3,Alicante,2009,2,21.25
Ambos sexos,3,Alicante,2009,3,21.81
Ambos sexos,3,Alicante,2009,4,23.36
Ambos sexos,3,Alicante,2010,1,23.2
Ambos sexos,3,Alicante,2010,2,23.96
Ambos sexos,3,Alicante,2010,3,24.8
Ambos sexos,3,Alicante,2010,4,24.68
Ambos sexos,3,Alicante,2011,1,23.58
Ambos sexos,3,Alicante,2011,2,22.73
Ambos sexos,3,Alicante,2011,3,23.56
Ambos sexos,3,Alicante,2011,4,25.76
Ambos sexos,3,Alicante,2012,1,29.39
Ambos sexos,3,Alicante,2012,2,27.29
Ambos sexos,3,Alicante,2012,3,27.22
Ambos sexos,3,Alicante,2012,4,28.2
Ambos sexos,3,Alicante,2013,1,29.34
Ambos sexos,3,Alicante,2013,2,27.33
Ambos sexos,3,Alicante,2013,3,26.87
Ambos sexos,3,Alicante,2013,4,29.48
Ambos sexos,3,Alicante,2014,1,28.79
Ambos sexos,3,Alicante,2014,2,26.08
Ambos sexos,3,Alicante,2014,3,24.34
Ambos sexos,3,Alicante,2014,4,24.91
Ambos sexos,3,Alicante,2015,1,26.42
Ambos sexos,3,Alicante,2015,2,24.11
Ambos sexos,3,Alicante,2015,3,23.39
Ambos sexos,3,Alicante,2015,4,22.96
Ambos sexos,3,Alicante,2016,1,23.62
Ambos sexos,3,Alicante,2016,2,22.74
Ambos sexos,3,Alicante,2016,3,18.61
Ambos sexos,3,Alicante,2016,4,18.21
Ambos sexos,3,Alicante,2017,1,19.77
Ambos sexos,3,Alicante,2017,2,18.48
Ambos sexos,3,Alicante,2017,3,16.22
Ambos sexos,3,Alicante,2017,4,17.96
Ambos sexos,3,Alicante,2018,1,18.3
Ambos sexos,3,Alicante,2018,2,15.6
Ambos sexos,3,Alicante,2018,3,15.14
Ambos sexos,3,Alicante,2018,4,15.63
Ambos sexos,3,Alicante,2019,1,15.44
Ambos sexos,3,Alicante,2019,2,14.71
Ambos sexos,3,Alicante,2019,3,13.57
Ambos sexos,3,Alicante,2019,4,15.68
Ambos sexos,3,Alicante,2020,1,15.01
Ambos sexos,3,Alicante,2020,2,18.41
Ambos sexos,3,Alicante,2020,3,19.28
Ambos sexos,3,Alicante,2020,4,19.41
Ambos sexos,3,Alicante,2021,1,19.17
Ambos sexos,3,Alicante,2021,2,17.93
Ambos sexos,3,Alicante,2021,3,18.43
Ambos sexos,3,Alicante,2021,4,18.53
Ambos sexos,3,Alicante,2022,1,14.78
Ambos sexos,3,Alicante,2022,2,14.13
Ambos sexos,3,Alicante,2022,3,13.61
Ambos sexos,3,Alicante,2022,4,15.21
Ambos sexos,3,Alicante,2023,1,15.48
Ambos sexos,4,Almería,2002,1,10.94
Ambos sexos,4,Almería,2002,2,7.69
Ambos sexos,4,Almería,2002,3,14.24
Ambos sexos,4,Almería,2002,4,10.26
Ambos sexos,4,Almería,2003,1,11.23
Ambos sexos,4,Almería,2003,2,8.03
Ambos sexos,4,Almería,2003,3,14.24
Ambos sexos,4,Almería,2003,4,11.68
Ambos sexos,4,Almería,2004,1,7.15
Ambos sexos,4,Almería,2004,2,8.58
Ambos sexos,4,Almería,2004,3,13.58
Ambos sexos,4,Almería,2004,4,9.86
Ambos sexos,4,Almería,2005,1,8.78
Ambos sexos,4,Almería,2005,2,9.73
Ambos sexos,4,Almería,2005,3,8.46
Ambos sexos,4,Almería,2005,4,9.83
Ambos sexos,4,Almería,2006,1,8.48
Ambos sexos,4,Almería,2006,2,9.15
Ambos sexos,4,Almería,2006,3,10.17
Ambos sexos,4,Almería,2006,4,9.26
Ambos sexos,4,Almería,2007,1,12.84
Ambos sexos,4,Almería,2007,2,10.01
Ambos sexos,4,Almería,2007,3,12.15
Ambos sexos,4,Almería,2007,4,10.78
Ambos sexos,4,Almería,2008,1,14.22
Ambos sexos,4,Almería,2008,2,17.55
Ambos sexos,4,Almería,2008,3,21.58
Ambos sexos,4,Almería,2008,4,24.22
Ambos sexos,4,Almería,2009,1,24.68
Ambos sexos,4,Almería,2009,2,26.95
Ambos sexos,4,Almería,2009,3,30.09
Ambos sexos,4,Almería,2009,4,24.57
Ambos sexos,4,Almería,2010,1,28.15
Ambos sexos,4,Almería,2010,2,30.14
Ambos sexos,4,Almería,2010,3,27.23
Ambos sexos,4,Almería,2010,4,26.53
Ambos sexos,4,Almería,2011,1,31.53
Ambos sexos,4,Almería,2011,2,34.84
Ambos sexos,4,Almería,2011,3,34.91
Ambos sexos,4,Almería,2011,4,32.74
Ambos sexos,4,Almería,2012,1,34.02
Ambos sexos,4,Almería,2012,2,34.44
Ambos sexos,4,Almería,2012,3,37.61
Ambos sexos,4,Almería,2012,4,35.19
Ambos sexos,4,Almería,2013,1,35.87
Ambos sexos,4,Almería,2013,2,34.5
Ambos sexos,4,Almería,2013,3,38.16
Ambos sexos,4,Almería,2013,4,35.69
Ambos sexos,4,Almería,2014,1,33.35
Ambos sexos,4,Almería,2014,2,35.81
Ambos sexos,4,Almería,2014,3,37.53
Ambos sexos,4,Almería,2014,4,35.7
Ambos sexos,4,Almería,2015,1,30.66
Ambos sexos,4,Almería,2015,2,29.09
Ambos sexos,4,Almería,2015,3,31.08
Ambos sexos,4,Almería,2015,4,25.13
Ambos sexos,4,Almería,2016,1,24.39
Ambos sexos,4,Almería,2016,2,22.45
Ambos sexos,4,Almería,2016,3,22.65
Ambos sexos,4,Almería,2016,4,24.84
Ambos sexos,4,Almería,2017,1,21.37
Ambos sexos,4,Almería,2017,2,23.03
Ambos sexos,4,Almería,2017,3,27.65
Ambos sexos,4,Almería,2017,4,25.43
Ambos sexos,4,Almería,2018,1,23.49
Ambos sexos,4,Almería,2018,2,22.52
Ambos sexos,4,Almería,2018,3,25.53
Ambos sexos,4,Almería,2018,4,18.77
Ambos sexos,4,Almería,2019,1,16.06
Ambos sexos,4,Almería,2019,2,16.12
Ambos sexos,4,Almería,2019,3,19.75
Ambos sexos,4,Almería,2019,4,18.53
Ambos sexos,4,Almería,2020,1,19.71
Ambos sexos,4,Almería,2020,2,20.21
Ambos sexos,4,Almería,2020,3,26.55
Ambos sexos,4,Almería,2020,4,21.15
Ambos sexos,4,Almería,2021,1,17.14
Ambos sexos,4,Almería,2021,2,22.01
Ambos sexos,4,Almería,2021,3,21.41
Ambos sexos,4,Almería,2021,4,15.65
Ambos sexos,4,Almería,2022,1,15.9
Ambos sexos,4,Almería,2022,2,15.39
Ambos sexos,4,Almería,2022,3,20.1
Ambos sexos,4,Almería,2022,4,16.06
Ambos sexos,4,Almería,2023,1,12.87
Ambos sexos,5,Ávila,2002,1,9.75
Ambos sexos,5,Ávila,2002,2,7.05
Ambos sexos,5,Ávila,2002,3,8.6
Ambos sexos,5,Ávila,2002,4,10.51
Ambos sexos,5,Ávila,2003,1,8.06
Ambos sexos,5,Ávila,2003,2,11.48
Ambos sexos,5,Ávila,2003,3,7.4
Ambos sexos,5,Ávila,2003,4,8.83
Ambos sexos,5,Ávila,2004,1,10.17
Ambos sexos,5,Ávila,2004,2,10.77
Ambos sexos,5,Ávila,2004,3,8.54
Ambos sexos,5,Ávila,2004,4,8.55
Ambos sexos,5,Ávila,2005,1,8.55
Ambos sexos,5,Ávila,2005,2,8.18
Ambos sexos,5,Ávila,2005,3,9.11
Ambos sexos,5,Ávila,2005,4,8.52
Ambos sexos,5,Ávila,2006,1,8.54
Ambos sexos,5,Ávila,2006,2,5.97
Ambos sexos,5,Ávila,2006,3,5.57
Ambos sexos,5,Ávila,2006,4,7.29
Ambos sexos,5,Ávila,2007,1,7.81
Ambos sexos,5,Ávila,2007,2,6.83
Ambos sexos,5,Ávila,2007,3,7.44
Ambos sexos,5,Ávila,2007,4,5.68
Ambos sexos,5,Ávila,2008,1,8.83
Ambos sexos,5,Ávila,2008,2,9.53
Ambos sexos,5,Ávila,2008,3,11.53
Ambos sexos,5,Ávila,2008,4,15.21
Ambos sexos,5,Ávila,2009,1,18.11
Ambos sexos,5,Ávila,2009,2,16.79
Ambos sexos,5,Ávila,2009,3,20.11
Ambos sexos,5,Ávila,2009,4,21.07
Ambos sexos,5,Ávila,2010,1,25.91
Ambos sexos,5,Ávila,2010,2,23.47
Ambos sexos,5,Ávila,2010,3,21.59
Ambos sexos,5,Ávila,2010,4,22.3
Ambos sexos,5,Ávila,2011,1,27.56
Ambos sexos,5,Ávila,2011,2,24.01
Ambos sexos,5,Ávila,2011,3,21.78
Ambos sexos,5,Ávila,2011,4,21.89
Ambos sexos,5,Ávila,2012,1,25.54
Ambos sexos,5,Ávila,2012,2,26.37
Ambos sexos,5,Ávila,2012,3,24.03
Ambos sexos,5,Ávila,2012,4,22.38
Ambos sexos,5,Ávila,2013,1,27.04
Ambos sexos,5,Ávila,2013,2,25.87
Ambos sexos,5,Ávila,2013,3,23.71
Ambos sexos,5,Ávila,2013,4,25.48
Ambos sexos,5,Ávila,2014,1,28.6
Ambos sexos,5,Ávila,2014,2,26.64
Ambos sexos,5,Ávila,2014,3,23.6
Ambos sexos,5,Ávila,2014,4,25.33
Ambos sexos,5,Ávila,2015,1,25.92
Ambos sexos,5,Ávila,2015,2,23.93
Ambos sexos,5,Ávila,2015,3,21.01
Ambos sexos,5,Ávila,2015,4,21.08
Ambos sexos,5,Ávila,2016,1,26.77
Ambos sexos,5,Ávila,2016,2,21.43
Ambos sexos,5,Ávila,2016,3,19.57
Ambos sexos,5,Ávila,2016,4,17.16
Ambos sexos,5,Ávila,2017,1,20.15
Ambos sexos,5,Ávila,2017,2,18.92
Ambos sexos,5,Ávila,2017,3,14.45
Ambos sexos,5,Ávila,2017,4,18.34
Ambos sexos,5,Ávila,2018,1,18.85
Ambos sexos,5,Ávila,2018,2,18.05
Ambos sexos,5,Ávila,2018,3,15.26
Ambos sexos,5,Ávila,2018,4,13.53
Ambos sexos,5,Ávila,2019,1,17.87
Ambos sexos,5,Ávila,2019,2,14.72
Ambos sexos,5,Ávila,2019,3,12.65
Ambos sexos,5,Ávila,2019,4,13.57
Ambos sexos,5,Ávila,2020,1,12.85
Ambos sexos,5,Ávila,2020,2,13.38
Ambos sexos,5,Ávila,2020,3,15.43
Ambos sexos,5,Ávila,2020,4,16.06
Ambos sexos,5,Ávila,2021,1,15.81
Ambos sexos,5,Ávila,2021,2,17.18
Ambos sexos,5,Ávila,2021,3,12.08
Ambos sexos,5,Ávila,2021,4,15.32
Ambos sexos,5,Ávila,2022,1,15.35
Ambos sexos,5,Ávila,2022,2,14.86
Ambos sexos,5,Ávila,2022,3,13.02
Ambos sexos,5,Ávila,2022,4,12.00
Ambos sexos,5,Ávila,2023,1,12.77
Ambos sexos,6,Badajoz,2002,1,20.77
Ambos sexos,6,Badajoz,2002,2,18.9
Ambos sexos,6,Badajoz,2002,3,19.61
Ambos sexos,6,Badajoz,2002,4,18.94
Ambos sexos,6,Badajoz,2003,1,18.94
Ambos sexos,6,Badajoz,2003,2,15.38
Ambos sexos,6,Badajoz,2003,3,14.54
Ambos sexos,6,Badajoz,2003,4,16.58
Ambos sexos,6,Badajoz,2004,1,16.77
Ambos sexos,6,Badajoz,2004,2,18.93
Ambos sexos,6,Badajoz,2004,3,16.25
Ambos sexos,6,Badajoz,2004,4,20.41
Ambos sexos,6,Badajoz,2005,1,19.65
Ambos sexos,6,Badajoz,2005,2,16.44
Ambos sexos,6,Badajoz,2005,3,17.05
Ambos sexos,6,Badajoz,2005,4,16.58
Ambos sexos,6,Badajoz,2006,1,17.38
Ambos sexos,6,Badajoz,2006,2,14.99
Ambos sexos,6,Badajoz,2006,3,11.5
Ambos sexos,6,Badajoz,2006,4,14.63
Ambos sexos,6,Badajoz,2007,1,13.96
Ambos sexos,6,Badajoz,2007,2,13.16
Ambos sexos,6,Badajoz,2007,3,13.69
Ambos sexos,6,Badajoz,2007,4,15.34
Ambos sexos,6,Badajoz,2008,1,13.84
Ambos sexos,6,Badajoz,2008,2,15.2
Ambos sexos,6,Badajoz,2008,3,14.98
Ambos sexos,6,Badajoz,2008,4,19.29
Ambos sexos,6,Badajoz,2009,1,22.55
Ambos sexos,6,Badajoz,2009,2,20.69
Ambos sexos,6,Badajoz,2009,3,19.32
Ambos sexos,6,Badajoz,2009,4,22.76
Ambos sexos,6,Badajoz,2010,1,23.84
Ambos sexos,6,Badajoz,2010,2,23.19
Ambos sexos,6,Badajoz,2010,3,22.69
Ambos sexos,6,Badajoz,2010,4,26.1
Ambos sexos,6,Badajoz,2011,1,27.31
Ambos sexos,6,Badajoz,2011,2,25.2
Ambos sexos,6,Badajoz,2011,3,25.33
Ambos sexos,6,Badajoz,2011,4,30.5
Ambos sexos,6,Badajoz,2012,1,32.86
Ambos sexos,6,Badajoz,2012,2,34.2
Ambos sexos,6,Badajoz,2012,3,32.66
Ambos sexos,6,Badajoz,2012,4,35.49
Ambos sexos,6,Badajoz,2013,1,36.26
Ambos sexos,6,Badajoz,2013,2,34.74
Ambos sexos,6,Badajoz,2013,3,33.51
Ambos sexos,6,Badajoz,2013,4,33.07
Ambos sexos,6,Badajoz,2014,1,34.05
Ambos sexos,6,Badajoz,2014,2,30.96
Ambos sexos,6,Badajoz,2014,3,28.53
Ambos sexos,6,Badajoz,2014,4,31.54
Ambos sexos,6,Badajoz,2015,1,30.54
Ambos sexos,6,Badajoz,2015,2,30.83
Ambos sexos,6,Badajoz,2015,3,29.63
Ambos sexos,6,Badajoz,2015,4,30.01
Ambos sexos,6,Badajoz,2016,1,30.48
Ambos sexos,6,Badajoz,2016,2,28.75
Ambos sexos,6,Badajoz,2016,3,27.98
Ambos sexos,6,Badajoz,2016,4,31.75
Ambos sexos,6,Badajoz,2017,1,31.8
Ambos sexos,6,Badajoz,2017,2,27.62
Ambos sexos,6,Badajoz,2017,3,26.18
Ambos sexos,6,Badajoz,2017,4,27.01
Ambos sexos,6,Badajoz,2018,1,28.64
Ambos sexos,6,Badajoz,2018,2,26.03
Ambos sexos,6,Badajoz,2018,3,23.03
Ambos sexos,6,Badajoz,2018,4,24.1
